ID1||plataforma||servidor||base||esquema||tabla||descripcion||data_owner||data_steward||fecha_creacion||num_columnas||columnas_documentadas||avance||clasificacion||fecha_Proceso||estado||used_mb
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_sri_ifis||||fpiguave||||2025-04-29||14||0||0.0||TMP||2025-05-12||P||0.05
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TMP_SAL_DIARIO_AHO||||jalcivar||||2025-03-11||9||0||0.0||TMP||2025-05-12||P||29.56
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_kjst_excepciones_agencias||||ksantana||||2025-04-17||7||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||tb_log_sp_pasivos||||wflores||||2025-03-07||4||0||0.0||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TB_TIPCTAAHO||||wflores||||2025-01-13||2||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TMP_BL_BASELINE_ACTIVOS_MES||||fpiguave||||2025-04-21||165||2||0.012121||TMP||2025-05-12||P||16.88
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BI_RESUMEN_TRX_TC_TD||||ylucas1||||2025-01-30||9||0||0.0||TRB||2025-05-12||P||1035.75
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BI_ComerciosDatafast_ItRep||||ylucas1||||2025-01-28||11||0||0.0||TRB||2025-05-12||P||3.7
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||LogspAutomatizacionCampanias||||ylucas1||||2024-09-23||4||0||0.0||TRB||2025-05-12||P||0.7
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||log_ejecucion_corporativos||||darguello||||2024-07-20||3||0||0.0||TRB||2025-05-12||P||0.03
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TABLA_ELOY||||ebravo||||2024-12-26||16||0||0.0||TRB||2025-05-12||P||0.04
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_daf_consulta_cmc_20250106||||darguello||||2025-01-06||6||0||0.0||TMP||2025-05-12||P||0.01
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_daf_periodos||||darguello||||2025-01-15||2||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||EMPRESAS_CLIENTES_POTENCIAL_JALCI||||jalcivar||||2025-05-01||115||0||0.0||TRB||2025-05-12||P||105.98
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||RESUMEN_SALDOS||||jalcivar||||2025-03-10||5||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TB_CLASIFICACION_CAMPANIA||||mtomala||||2024-09-05||4||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBL_SALDOS_PROYECCIONPOLIZAS||||mtomala||||2024-09-20||10||0||0.0||TRB||2025-05-12||P||18.52
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBR_PRESUPUESTOCRM_PORTAFOLIO||||mtomala||||2024-03-05||7||0||0.0||TRB||2025-05-12||P||13.44
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_inventario_cash_dpa||||fpiguave||||2025-02-20||31||0||0.0||TMP||2025-05-12||P||337.63
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||archivo_tc_4_correccion||||||||2022-11-15||8||0||0.0||TRB||2025-05-12||P||0.87
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_BG_QGIS||||||||2020-02-12||15||0||0.0||TRB||2025-05-12||P||0.1
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||DW_DIM_LINEA_NEGOCIO_PROCESOS||||||||2023-01-26||3||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||BaseNueva_Telefonicas||||||||2021-09-16||11||1||0.090909||TRB||2025-05-12||P||4.38
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||gcp3a_dic_nom||||||||2023-12-26||20||1||0.05||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_CORREO_AVANCE_3_JA||||||||2024-06-26||1||0||0.0||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TB_CLIENTES_SEGMENTOS||||||||2023-04-04||13||1||0.076923||TRB||2025-05-12||P||1293.66
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TB_IMPORTACIONES||||||||2023-11-16||17||0||0.0||TRB||2025-05-12||P||372.57
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||HOMOLOGACION_CENTROS_COSTOS||||||||2025-05-09||9||0||0.0||TRB||2025-05-12||P||6.32
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||cat_periodos_rfm||||jchica||||2025-02-05||3||0||0.0||TRB||2025-05-12||P||69.41
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||SAVINGS_AGGREGATE||||||||2023-07-27||13||0||0.0||TRB||2025-05-12||P||15.52
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||ANALYTICS||TB_RANKING_CLUSTERS||||||||2024-02-16||4||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||PERFIL_MAL||||||||2022-08-10||3||0||0.0||TRB||2025-05-12||P||0.21
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||BASE_ACTUALIZAR_CONTACTOS_MAIL||||||||2022-06-14||10||0||0.0||TRB||2025-05-12||P||39.43
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||SG_TIPOLOGIAS||||||||2023-06-02||4||0||0.0||TRB||2025-05-12||P||0.03
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBR_CTATC_ACTIVA_DETALLE||||||||2023-01-11||7||0||0.0||TRB||2025-05-12||P||10401.44
1||ANALITICA||GYEINTNEGDB01||CONSULTA_EMPRESAS||dbo||t_AuditoriaTablas||||||||2024-10-10||7||0||0.0||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||ContactabilidadP||dbo||tmpcargachubb||||||||2024-08-19||20||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||DW_DIM_FECHA_CARPETA_SPI||||||||2023-09-07||8||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||LakeHouse||dbo||TB_SALDOS_DETALLE_CONCEDIDO||||||||2025-04-04||40||0||0.0||TRB||2025-05-12||P||325.73
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TC_GARANTIA_GRADUACION||||||||2022-09-09||197||13||0.065989||TRB||2025-05-12||P||0.99
